Institution,Subsistem,Sector,URL,Homepage,Programs,Applications,Accessibility Statement,Rating
Universidade Aberta,University,Public,https://portal.uab.pt/,4.4,6.1,5.3,10,6.45
Universidade dos Açores,University,Public,https://www.uac.pt/,4.3,5,5.2,0.0,3.63
Universidade do Algarve,University,Public,https://www.ualg.pt/,6,7.6,5.1,0.0,4.68
Universidade de Aveiro,University,Public,https://www.ua.pt/,5.6,5,5,10,6.40
Universidade da Beira Interior,University,Public,https://www.ubi.pt/,6.8,4.9,5.2,0.0,4.23
Universidade de Coimbra,University,Public,https://www.uc.pt/,7.7,7.4,4.2,10,7.33
Universidade de Évora,University,Public,https://www.uevora.pt/,5.8,6.2,6.2,0.0,4.55
Universidade de Lisboa,University,Public,https://www.ulisboa.pt/,6.1,8.1,7.2,0.0,5.35
Universidade da Madeira,University,Public,https://www.uma.pt/,6.2,7.3,7.3,0.0,5.20
Universidade do Minho,University,Public,https://www.uminho.pt/,3.4,3.9,3.9,0.0,2.80
Universidade Nova de Lisboa,University,Public,https://www.unl.pt/,7.1,6.9,6.9,0.0,5.23
Universidade do Porto,University,Public,https://sigarra.up.pt/up/pt/,7.1,5.2,4.6,10,6.73
Universidade de Trás-os-Montes e Alto Douro,University,Public,https://www.utad.pt/,6.1,7.2,7.4,10,7.68
ISCTE - Instituto Universitário de Lisboa,University,Public,https://www.iscte-iul.pt/,5.8,6.1,5.1,0.0,4.25
Instituto Superior Miguel Torga,University,Public,https://ismt.pt/pt,,,5.9,0.0,4.43
Universidade Autónoma de Lisboa Luís de Camões,University,Private,https://autonoma.pt/,4.1,4,5.3,0.0,3.35
Universidade Católica Portuguesa,University,Private,https://www.ucp.pt/,6.3,5.7,5.8,0.0,4.45
Universidade da Maia,University,Private,https://www.ismai.pt/,4.7,6.5,4.8,0.0,4.00
Universidade Europeia,University,Private,https://www.europeia.pt/,7.5,7.4,5.3,0.0,5.05
Universidade Fernando Pessoa,University,Private,https://www.ufp.pt/,6.2,7.5,7.6,0.0,5.33
Universidade Lusíada,University,Private,http://www.ulusiada.pt/,6.4,3.6,4.2,0.0,3.55
Universidade Lusófona,University,Private,https://www.ulusofona.pt,3.7,5.2,5.6,0.0,3.63
Universidade Portucalense Infante D. Henrique,University,Private,https://www.upt.pt/,6.7,6.7,5,0.0,4.60
Atlântica - Instituto Universitário,University,Private,https://www.uatlantica.pt/,7,7.2,7.2,0.0,5.35
Instituto Universitário de Ciências da Saúde,University,Private,https://www.cespu.pt/ensino/ensino-universitario/,4.4,3.7,,0.0,3.04
Instituto Universitário Egas Moniz,University,Private,https://www.egasmoniz.com.pt/,4,4.8,4.6,0.0,3.35
"ISPA - Instituto Universitário de Ciências Psicológicas, Sociais e da Vida",University,Private,https://www.ispa.pt/,6.9,7,7,0.0,5.23
Escola Superior Artística do Porto,University,Private,http://www.esap.pt/,8.5,8.5,8.2,0.0,6.30
Escola Universitária Vasco da Gama,University,Private,https://www.euvg.pt/,5,5.3,5.3,0.0,3.90
Instituto Superior de Estudos Interculturais e Transdisciplinares,University,Private,https://ipiaget.org/,5.1,4.5,5.9,0.0,3.88
Instituto Superior de Gestão,University,Private,https://www.isg.pt/,4.1,3.8,4.3,0.0,3.05
Instituto Superior Manuel Teixeira Gomes,University,Private,https://www.ismat.pt/,4.5,4.5,5.6,0.0,3.65
Instituto Superior de Serviço Social do Porto,University,Private,https://isssp.pt/,5.2,5.2,3.7,0.0,3.53
